date,Guinea Cases,guinea_d,Liberia Cases,liberia_d,Sierra Leone Cases,sierra_d
Mar 2014,112,70,8,6,0,0
Apr 2014,109,76,5,5,0,0
May 2014,60,40,-1,-2,16,5
Jun 2014,109,84,39,25,142,29
Jul 2014,70,69,278,122,375,199
Aug 2014,188,91,1049,538,493,189
Sep 2014,426,218,2080,1136,995,183
Oct 2014,593,370,3077,583,3317,905
Nov 2014,488,294,1100,732,1771,20
Dec 2014,552,396,383,278,2337,1228
Jan 2015,210,202,604,263,1072,441
Feb 2015,238,181,616,351,783,262
Mar 2015,274,172,364,264,540,286
Apr 2015,155,114,720,307,530,152
May 2015,57,43,344,198,335,9
Jun 2015,77,53,0,0,353,20
Jul 2015,68,47,6,2,231,23
Aug 2015,6,7,0,0,251,1
Sep 2015,8,5,0,0,282,3
Oct 2015,6,3,0,0,238,0
Nov 2015,-2,1,3,0,61,0
Dec 2015,0,0,0,1,0,0
Jan 2016,0,0,0,0,2,1
Feb 2016,0,0,0,0,0,0
